id_puerto;nom_puerto;abreviatura_pais;geometry
GBBRX;Brixham;GBR;POINT (-3.514700000000005 50.40013386800001)
ESMOA;Moana;ESP;POINT (-8.720700000000022 42.28663386800002)
ESMRS;Muros;ESP;POINT (-9.055000000000007 42.780833868)
ESEAS;San Sebastian;ESP;POINT (-1.978200000000015 43.326133868)
DZBJA;Bejaia;DZA;POINT (5.079700000000003 36.75123386799999)
ESAYA;Ayamonte;ESP;POINT (-7.406900000000007 37.21443386800001)
ITOTO;Otranto;ITA;POINT (18.50409999999999 40.13393386799999)
FRCLY;Calvi;FRA;POINT (8.755899999999997 42.57473386800001)
SEROR;Ronnskar;SWE;POINT (21.27449999999999 64.67093386800002)
FIJOU;Joutseno;FIN;POINT (28.48989999999998 61.13393386799999)
PHMNL;Manila;PHL;POINT (120.9609 14.58943386800001)
SRPBM;Paramaribo;SUR;POINT (-55.14600000000002 5.822033868000005)
MZINH;Inhambane;MOZ;POINT (35.3777 -23.861366132)
CAGLB;Glace Bay;CAN;POINT (-59.94990000000001 46.20003386799999)
IDPNG;Penuba;IDN;POINT (104.4513 -0.297566130000007)
USESC;Escanaba;USA;POINT (-87.0564 45.75233386799999)
USDLH;Duluth;USA;POINT (-92.04829999999998 46.80293386800003)
USSIB;Silver Bay;USA;POINT (-91.25700000000001 47.27713386800002)
USAMZ;Algoma;USA;POINT (-87.4341 44.597433868)
USPET;Petoskey;USA;POINT (-84.96519999999998 45.37203386800002)
CABUI;Burin;CAN;POINT (-55.1823 47.03713386800001)
CASBR;Sherbrooke;CAN;POINT (-62 45.14073386799998)
HTPEG;Petit Goave;HTI;POINT (-72.87099999999998 18.42873386999997)
FJLTK;Lautoka;FJI;POINT (177.4483 -17.60836613200001)
PGKIE;Kieta;PNG;POINT (155.6187 -6.212266132000025)
MGANM;Antalaha;MDG;POINT (50.28237428699998 -14.901109625)
USOTH;North Bend;USA;POINT (-124.2246 43.42973386800003)
CACHT;Cheticamp;CAN;POINT (-61.00999999999999 46.65303386800002)
CAQUE;Quebec;CAN;POINT (-71.19799999999998 46.81613386800001)
CAGRB;Grand Bank;CAN;POINT (-55.76690000000002 47.10413386800002)
CACHV;Churchill;CAN;POINT (-94.08980000000003 58.77083386800001)
USOME;Nome;USA;POINT (-165.4394 64.49843386800001)
USORG;Orange;USA;POINT (-93.7362 30.09013386800001)
NGBRA;Brass;NGA;POINT (6.242908148000026 4.304361533000019)
USBTV;Burlington;USA;POINT (-74.8526 40.08193386800002)
USPTJ;Port Jefferson;USA;POINT (-73.05000000000001 40.95553386799997)
USSUV;Saugerties;USA;POINT (-73.94380000000001 42.07373386799998)
CAOTT;Ottawa;CAN;POINT (-75.70659999999998 45.42753386800001)
CANGL;New Glasgow;CAN;POINT (-62.64909999999998 45.60653386799999)
CAPTO;Pictou;CAN;POINT (-62.7063 45.67393386800001)
USKLS;Kelso;USA;POINT (-122.8952 46.100133868)
CAMTN;Marystown;CAN;POINT (-55.16149999999999 47.16523386799997)
USGLS;Galveston;USA;POINT (-94.83499999999998 29.276533868)
USMAR;Marrero;USA;POINT (-90.10390000000001 29.903333868)
USSLS;Salisbury;USA;POINT (-75.62079999999997 38.34913386800002)
USHOB;Hoboken;USA;POINT (-74.02690000000001 40.74093386800001)
USWMV;Wareham;USA;POINT (-70.73070000000001 41.755933868)
CAPRE;Prescott;CAN;POINT (-75.51870000000002 44.71083386800001)
CASHH;Sheet Harbour;CAN;POINT (-62.57330000000002 44.86263386799999)
CASOU;Souris;CAN;POINT (-62.24669999999998 46.34373386800002)
CABYR;Bay Roberts;CAN;POINT (-53.27589999999998 47.58803386800002)
USXJY;Orcas;USA;POINT (-122.9359 48.59803386800002)
CABWD;Botwood;CAN;POINT (-55.33909999999997 49.14993386800001)
CALMD;Lomond;CAN;POINT (-57.75779999999997 49.45213386799998)
CAKTM;Kitimat;CAN;POINT (-128.6773 54.04753386800002)
USAKU;Akutan;USA;POINT (-165.7984 54.132533868)
JPNOB;Nobeoka;JPN;POINT (131.6926999999999 32.58573386799998)
DKKTP;Kastrup;DNK;POINT (12.65910000000002 55.63643386799998)
GRITA;Itea;GRC;POINT (22.42309999999998 38.43213386799999)
ITPFE;Portoferraio;ITA;POINT (10.3091 42.814133868)
FRDOL;Deauville;FRA;POINT (0.0817000000000121 49.36853386799999)
YUBAR;Bar;MNE;POINT (19.09190000000001 42.08503386799998)
DENRD;Norderney;DEU;POINT (7.205300000000022 53.70933386799999)
NOFAN;Farsund;NOR;POINT (6.809300000000007 58.08073386799998)
NOLIL;Lillesand;NOR;POINT (8.352100000000007 58.234633868)
FRIZO;Izon;FRA;POINT (-0.3600000000000136 44.93533386799999)
NALUD;Luderitz;NAM;POINT (15.14870000000002 -26.64366613200002)
AOAZZ;Ambriz;AGO;POINT (13.11489999999998 -7.848366132000024)
JPONA;Onahama;JPN;POINT (140.9073 36.940933868)
